age,QL_death0
0,13.865586705562547
1,14.407143529827392
2,14.915646173208518
3,15.439926658464794
4,15.982286329837587
5,16.543099132552477
6,17.12340617838115
7,17.72415443955511
8,18.346014065790072
9,18.989293126643684
10,19.655514154550243
11,20.345092871467934
12,21.058811779843875
13,21.79766786019677
14,22.56289866177063
15,23.35544155308484
16,24.17647943179949
17,25.027228224406677
18,25.908703677139677
19,25.788317477150834
20,25.664191666300812
21,25.53608299623765
22,25.403655237074
23,25.266569463914827
24,25.12556164611485
25,24.979496909900682
26,24.828611619924846
27,24.673041432333573
28,24.51185985156786
29,24.346269067434694
30,24.17523278870971
31,23.999202286783493
32,23.817149253254023
33,23.630900765283492
34,23.43816209233886
35,23.23985749761049
36,23.035553176860496
37,22.825855290136495
38,22.609064467788222
39,22.387666606685443
40,22.15893070077647
41,21.925113341771876
42,21.684586571854883
43,21.437187334157112
44,21.183553123436653
45,20.923696185339253
46,20.657366090817543
47,20.383572183007495
48,20.103311118405045
49,19.814419598651465
50,19.518659804601025
51,19.21727056128138
52,18.907703736804958
53,18.590388446225397
54,18.266268290566472
55,17.934710704741327
56,17.59803184536331
57,17.253653766140314
58,16.902139720689497
59,16.54452429884452
60,16.181659090894573
61,15.814392859160316
62,15.440037219841091
63,15.06007881508216
64,14.67499447439953
65,14.283472459503571
66,13.883529636319789
67,13.47713522092546
68,13.062088007656643
69,12.645149045549541
70,12.222132090197327
71,11.79810535483852
72,11.373115295754648
73,10.945320267145291
74,10.516713468705548
75,10.091953895926617
76,9.66735481226117
77,9.242213009339718
78,8.815696970839447
79,8.392193658146843
80,7.971192152262594
81,7.562049443748866
82,7.159227742199126
83,6.767605835866764
84,6.390643443402671
85,6.0243249413580795
86,5.669998671168294
87,5.329448886658262
88,5.006441385734697
89,4.698526544328589
90,4.406232354292328
91,4.133356118905282
92,3.8583644681753455
93,3.5920043978584446
94,3.3305289224491355
95,3.0834655063381162
96,2.815271767362693
97,2.514786141859636
98,2.133291821621654
99,1.660163516068053
100,1
